Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt10293406,6,2023-08-09,The Power of the Dog,https://www.imdb.com/title/tt10293406/,movie,6.8,126,2021,"Drama, Western",187910,2021-09-02,Jane Campion
tt10472884,8,2021-05-04,Seishun Buta Yaro wa Yumemiru Shoujo no Yume wo Minai,https://www.imdb.com/title/tt10472884/,movie,8.2,89,2019,"Animation, Drama, Fantasy, Mystery, Romance, Thriller",5883,2019-06-15,Sôichi Masui
tt10479420,7,2021-05-04,Given,https://www.imdb.com/title/tt10479420/,tvMiniSeries,8.3,23,2019,"Animation, Drama, Music, Romance",4443,2019-07-11,Unkown
tt10638036,7,2023-08-09,Given,https://www.imdb.com/title/tt10638036/,tvSeries,8.6,30,2022,"Drama, Romance",71730,2022-04-22,Unkown
tt0108778,10,2023-08-09,Friends,https://www.imdb.com/title/tt0108778/,tvSeries,8.9,22,1994,"Comedy, Romance",1049834,1994-09-22,Unkown
tt10886166,1,2023-08-09,365 dni,https://www.imdb.com/title/tt10886166/,movie,3.3,114,2020,"Drama, Romance",95610,2020-02-07,"Barbara Bialowas, Tomasz Mandes"
tt10954274,7,2021-05-07,ID:Invaded,https://www.imdb.com/title/tt10954274/,tvMiniSeries,7.5,24,2020,"Animation, Crime, Drama, Mystery, Sci-Fi, Thriller",3040,2020-01-05,Unkown
tt10970552,7,2021-05-04,The Haunting of Bly Manor,https://www.imdb.com/title/tt10970552/,tvMiniSeries,7.4,494,2020,"Drama, Horror, Mystery, Thriller",119233,2020-10-09,Unkown
tt11107074,8,2021-05-04,Boku no hîrô akademia THE MOVIE - Hîrôzu: Raijingu,https://www.imdb.com/title/tt11107074/,movie,7.8,104,2019,"Animation, Action, Adventure, Fantasy, Sci-Fi",9320,2019-12-20,Kenji Nagasaki
tt11657662,8,2023-08-22,The Witcher: Nightmare of the Wolf,https://www.imdb.com/title/tt11657662/,movie,7.2,83,2021,"Animation, Action, Adventure, Drama, Fantasy, Mystery",48627,2021-08-23,Kwang Il Han
tt11755740,2,2023-08-09,Texas Chainsaw Massacre,https://www.imdb.com/title/tt11755740/,movie,4.7,83,2022,"Crime, Horror, Thriller",59217,2022-02-18,David Blue Garcia
tt11802992,8,2021-05-07,Given,https://www.imdb.com/title/tt11802992/,movie,7.7,59,2020,"Animation, Drama, Music, Romance",2224,2020-08-22,Hikaru Yamaguchi
tt0118799,10,2023-08-09,La vita è bella,https://www.imdb.com/title/tt0118799/,movie,8.6,116,1997,"Comedy, Drama, Romance, War",725102,1997-12-20,Roberto Benigni
tt1217209,8,2023-08-21,Brave,https://www.imdb.com/title/tt1217209/,movie,7.1,93,2012,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Mystery",431350,2012-06-10,"Steve Purcell, Mark Andrews, Brenda Chapman"
tt12331304,6,2021-05-07,"Kimi to Boku no Saigo no Senjou, Arui wa Sekai ga Hajimaru Seisen",https://www.imdb.com/title/tt12331304/,tvSeries,6.4,23,2020,"Animation, Action, Fantasy, Romance, War",885,2020-10-07,Unkown
tt12343534,8,2023-08-21,Jujutsu Kaisen,https://www.imdb.com/title/tt12343534/,tvSeries,8.5,24,2020,"Animation, Action, Adventure, Fantasy, Thriller",87683,2020-10-02,Unkown
tt12350092,6,2023-08-21,Gibiate,https://www.imdb.com/title/tt12350092/,tvSeries,4.2,24,2020,"Animation, Action, Adventure, Fantasy",193,2020-07-15,Unkown
tt12642634,8,2023-08-21,Ikebukuro West Gate Park,https://www.imdb.com/title/tt12642634/,tvSeries,6.4,Unkown,2020,"Animation, Drama, Mystery, Romance",230,2020-10-06,Unkown
tt12831098,9,2021-05-04,Yuukoku no Moriarty,https://www.imdb.com/title/tt12831098/,tvSeries,8.0,23,2020,"Animation, Crime, Mystery, Thriller",3474,2020-10-11,Unkown
tt13103134,7,2021-05-04,Hori-san to Miyamura-kun,https://www.imdb.com/title/tt13103134/,tvMiniSeries,8.1,24,2021,"Animation, Comedy, Drama, Romance",13220,2021-01-09,Unkown
tt1312171,6,2023-08-09,The Umbrella Academy,https://www.imdb.com/title/tt1312171/,tvSeries,7.9,60,2019,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",265288,2019-02-15,Unkown
tt13196080,7,2022-09-04,Tokyo Revengers,https://www.imdb.com/title/tt13196080/,tvSeries,7.9,24,2021,"Animation, Action, Drama",22776,2021-04-10,Unkown
tt1323594,8,2023-08-21,Despicable Me,https://www.imdb.com/title/tt1323594/,movie,7.6,95,2010,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",570050,2010-06-20,"Chris Renaud, Pierre Coffin"
tt1396484,8,2021-05-04,It,https://www.imdb.com/title/tt1396484/,movie,7.3,135,2017,Horror,585510,2017-09-05,Andy Muschietti
tt14310946,8,2023-08-21,The Blood of the Dinosaurs,https://www.imdb.com/title/tt14310946/,short,7.5,12,2021,"Short, Comedy",14,2021-07-01,Joe Badon
tt1453405,7,2023-08-21,Monsters University,https://www.imdb.com/title/tt1453405/,movie,7.2,104,2013,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",379443,2013-06-05,Dan Scanlon
tt15398776,9,2023-08-09,Oppenheimer,https://www.imdb.com/title/tt15398776/,movie,8.5,180,2023,"Biography, Drama, History",463241,2023-07-11,Christopher Nolan
tt1630029,8,2023-08-21,Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/,movie,7.6,192,2022,"Action, Adventure, Fantasy, Sci-Fi",463946,2022-12-06,James Cameron
tt16385148,3,2023-08-09,Starfuckers,https://www.imdb.com/title/tt16385148/,short,6.5,14,2022,"Short, Drama",674,2022-01-20,Antonio Marziale
tt1690953,8,2023-08-21,Despicable Me 2,https://www.imdb.com/title/tt1690953/,movie,7.3,98,2013,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",416741,2013-06-16,"Chris Renaud, Pierre Coffin"
tt1751634,5,2023-08-09,The Sandman,https://www.imdb.com/title/tt1751634/,tvSeries,7.7,45,2022,"Drama, Fantasy, Horror, Mystery, Sci-Fi",163013,2022-08-05,Unkown
tt1772341,8,2023-08-21,Wreck-It Ralph,https://www.imdb.com/title/tt1772341/,movie,7.7,101,2012,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",446476,2012-11-01,Rich Moore
tt1865718,10,2021-05-08,Gravity Falls,https://www.imdb.com/title/tt1865718/,tvSeries,8.9,23,2012,"Animation, Adventure, Comedy, Family, Fantasy, Horror",126459,2012-06-14,Unkown
tt19768100,6,2023-08-09,Hideous,https://www.imdb.com/title/tt19768100/,short,6.6,22,2022,"Short, Drama, Horror, Music, Musical",634,2022-05-22,Yann Gonzalez
tt19885626,7,2023-08-09,Ricky Gervais: SuperNature,https://www.imdb.com/title/tt19885626/,tvSpecial,7.5,64,2022,Comedy,21262,2022-05-24,John L. Spencer
tt21358976,7,2023-08-21,What Is in the Ocean?,https://www.imdb.com/title/tt21358976/,short,Unkown,6,2022,"Short, Sci-Fi",Unkown,2022-07-24,Preston Moss
tt2155399,5,2023-08-26,Variações,https://www.imdb.com/title/tt2155399/,movie,7.1,109,2019,"Biography, Drama, Music, Romance",3764,2019-08-19,João Maia
